Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,
2024-07-01,209.86000061035156,209.86000061035156,213.22999572753906,200.85000610351562,201.02000427246094,135691400
2024-07-02,231.25999450683594,231.25999450683594,231.3000030517578,218.05999755859375,218.88999938964844,205047900
2024-07-03,246.38999938964844,246.38999938964844,248.35000610351562,234.25,234.55999755859375,166561500
2024-07-05,251.52000427246094,251.52000427246094,252.3699951171875,242.4600067138672,249.80999755859375,154501200
2024-07-08,252.94000244140625,252.94000244140625,259.44000244140625,244.57000732421875,247.7100067138672,157219600
2024-07-09,262.3299865722656,262.3299865722656,265.6099853515625,250.3000030517578,251.0,160210900
2024-07-10,263.260009765625,263.260009765625,267.5899963378906,257.8599853515625,262.79998779296875,128519400
2024-07-11,241.02999877929688,241.02999877929688,271.0,239.64999389648438,263.29998779296875,221707300
2024-07-12,248.22999572753906,248.22999572753906,251.83999633789062,233.08999633789062,235.8000030517578,155955800
2024-07-15,252.63999938964844,252.63999938964844,265.6000061035156,251.72999572753906,255.97000122070312,146912900
2024-07-16,256.55999755859375,256.55999755859375,258.6199951171875,245.8000030517578,255.30999755859375,126332500
2024-07-17,248.5,248.5,258.4700012207031,246.17999267578125,252.72999572753906,115584800
2024-07-18,249.22999572753906,249.22999572753906,257.1400146484375,247.1999969482422,251.08999633789062,110869000
2024-07-19,239.1999969482422,239.1999969482422,249.44000244140625,236.8300018310547,247.7899932861328,87403900
2024-07-22,251.50999450683594,251.50999450683594,253.2100067138672,243.75,244.2100067138672,101225400
2024-07-23,246.3800048828125,246.3800048828125,255.75999450683594,245.6300048828125,253.60000610351562,111928200
2024-07-24,215.99000549316406,215.99000549316406,225.99000549316406,214.7100067138672,225.4199981689453,167942900
2024-07-25,220.25,220.25,226.0,216.22999572753906,216.8000030517578,100636500
2024-07-26,219.8000030517578,219.8000030517578,222.27999877929688,215.3300018310547,221.19000244140625,94604100
2024-07-29,232.10000610351562,232.10000610351562,234.27000427246094,224.6999969482422,224.89999389648438,129201800
2024-07-30,222.6199951171875,222.6199951171875,232.41000366210938,220.0,232.25,100560300
2024-07-31,232.07000732421875,232.07000732421875,234.67999267578125,226.7899932861328,227.89999389648438,67497000
2024-08-01,216.86000061035156,216.86000061035156,231.8699951171875,214.3300018310547,227.69000244140625,83861900
2024-08-02,207.6699981689453,207.6699981689453,216.1300048828125,205.77999877929688,214.8800048828125,82880100
2024-08-05,198.8800048828125,198.8800048828125,203.8800048828125,182.0,185.22000122070312,100308800
2024-08-06,200.63999938964844,200.63999938964844,202.89999389648438,192.6699981689453,200.75,73783900
2024-08-07,191.75999450683594,191.75999450683594,203.49000549316406,191.47999572753906,200.77000427246094,71159800
2024-08-08,198.83999633789062,198.83999633789062,200.6999969482422,192.0399932861328,195.6999969482422,65033900
2024-08-09,200.0,200.0,200.8800048828125,195.11000061035156,197.0500030517578,58648300
2024-08-12,197.49000549316406,197.49000549316406,199.25999450683594,194.6699981689453,199.02000427246094,64044900
2024-08-13,207.8300018310547,207.8300018310547,208.49000549316406,197.05999755859375,198.47000122070312,76247400
2024-08-14,201.3800048828125,201.3800048828125,208.44000244140625,198.75,207.38999938964844,70250000
2024-08-15,214.13999938964844,214.13999938964844,215.8800048828125,204.82000732421875,205.02000427246094,89848500
2024-08-16,216.1199951171875,216.1199951171875,219.8000030517578,210.8000030517578,211.14999389648438,88765100
2024-08-19,222.72000122070312,222.72000122070312,222.97999572753906,214.08999633789062,217.07000732421875,76435200
2024-08-20,221.10000610351562,221.10000610351562,228.22000122070312,219.55999755859375,224.8800048828125,74001200
2024-08-21,223.27000427246094,223.27000427246094,224.66000366210938,218.86000061035156,222.6699981689453,70146000
2024-08-22,210.66000366210938,210.66000366210938,224.8000030517578,210.32000732421875,223.82000732421875,79514500
2024-08-23,220.32000732421875,220.32000732421875,221.47999572753906,214.2100067138672,214.4600067138672,81525200
2024-08-26,213.2100067138672,213.2100067138672,219.08999633789062,211.00999450683594,218.75,59301200
2024-08-27,209.2100067138672,209.2100067138672,215.66000366210938,206.94000244140625,213.25,62821400
2024-08-28,205.75,205.75,211.83999633789062,202.58999633789062,209.72000122070312,64116400
2024-08-29,206.27999877929688,206.27999877929688,214.88999938964844,205.97000122070312,209.8000030517578,62308800
2024-08-30,214.11000061035156,214.11000061035156,214.57000732421875,207.02999877929688,208.6300048828125,63370600
